<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 3468832465
	512	98.8%	(1.8%)
	1024	97%	(5%)
	2048	92%	(19%)
	4096	73%	(38.8%)
	8192	34.2%	(34.2%)
771000	mean = 79895.1	max = 225688
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.2%)
	512	99.3%	(1.6%)
	1024	97.7%	(4.5%)
	2048	93.2%	(19.6%)
	4096	73.6%	(41.9%)
	8192	31.7%	(31.6%)
	16384	0.1%	(0.1%)
772000	mean = 76212.8	max = 175408
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.9%)
	1024	97.4%	(7%)
	2048	90.4%	(20.9%)
	4096	69.5%	(40.1%)
	8192	29.4%	(29.4%)
773000	mean = 81260.2	max = 174828
	256	100%	(0.1%)
	512	99.9%	(1.5%)
	1024	98.4%	(4.7%)
	2048	93.7%	(19.8%)
	4096	73.9%	(40.7%)
	8192	33.2%	(33.2%)
774000	mean = 79880.5	max = 218524
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(1%)
	1024	98.2%	(6.8%)
	2048	91.4%	(18.2%)
	4096	73.2%	(41.7%)
	8192	31.5%	(31.4%)
	16384	0.1%	(0.1%)
775000	mean = 78829.5	max = 225928
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.6%)
	1024	98.1%	(5.8%)
	2048	92.3%	(21.3%)
	4096	71%	(39.7%)
	8192	31.3%	(31.2%)
	16384	0.1%	(0.1%)
776000	mean = 78699.3	max = 177048
	128	100%	(0.3%)
	256	99.7%	(0.2%)
	512	99.5%	(1.2%)
	1024	98.3%	(5.5%)
	2048	92.8%	(22.5%)
	4096	70.3%	(39%)
	8192	31.3%	(31.3%)
777000	mean = 76837.3	max = 175172
	128	100%	(0.3%)
	256	99.7%	(0.1%)
	512	99.6%	(1.5%)
	1024	98.1%	(6.1%)
	2048	92%	(21%)
	4096	71%	(42.8%)
	8192	28.2%	(28.2%)
778000	mean = 78362.3	max = 175532
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(0.8%)
	1024	98.8%	(5.7%)
	2048	93.1%	(20.3%)
	4096	72.8%	(43.6%)
	8192	29.2%	(29.2%)
779000	mean = 78957.3	max = 174712
	128	100%	(0.2%)
	256	99.8%	(0.1%)
	512	99.7%	(1.9%)
	1024	97.8%	(6.6%)
	2048	91.2%	(20.2%)
	4096	71%	(39.9%)
	8192	31.1%	(31.1%)
780000	mean = 78493.6	max = 213304
	128	100%	(0.2%)
	256	99.8%	(0.7%)
	512	99.1%	(1.6%)
	1024	97.5%	(5%)
	2048	92.5%	(22.5%)
	4096	70%	(37.7%)
	8192	32.3%	(32.2%)
	16384	0.1%	(0.1%)
781000	mean = 79572.6	max = 176188
	256	100%	(0.5%)
	512	99.5%	(2.4%)
	1024	97.1%	(5.7%)
	2048	91.4%	(19.4%)
	4096	72%	(39.6%)
	8192	32.4%	(32.4%)
782000	mean = 76554.2	max = 176268
	64	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.1%)
	1024	97.3%	(5.3%)
	2048	92%	(23.4%)
	4096	68.6%	(38.9%)
	8192	29.7%	(29.7%)
783000	mean = 80615.3	max = 176716
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(1.5%)
	1024	98.1%	(6.2%)
	2048	91.9%	(18.4%)
	4096	73.5%	(41.2%)
	8192	32.3%	(32.3%)
784000	mean = 77469.3	max = 188088
	128	100%	(0.2%)
	256	99.8%	(0.7%)
	512	99.1%	(1.3%)
	1024	97.8%	(5.8%)
	2048	92%	(20.8%)
	4096	71.2%	(41.5%)
	8192	29.7%	(29.7%)
785000	mean = 76403	max = 229848
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.4%)
	1024	98%	(6.7%)
	2048	91.3%	(21.7%)
	4096	69.6%	(40.7%)
	8192	28.9%	(28.8%)
	16384	0.1%	(0.1%)
786000	mean = 78823.1	max = 175848
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.4%)
	1024	98.3%	(6.3%)
	2048	92%	(21.8%)
	4096	70.2%	(38%)
	8192	32.2%	(32.2%)
787000	mean = 79944.1	max = 177344
	128	100%	(0.1%)
	512	99.9%	(0.9%)
	1024	99%	(5.1%)
	2048	93.9%	(20.4%)
	4096	73.5%	(42.8%)
	8192	30.7%	(30.7%)
788000	mean = 76007.8	max = 177120
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(2.6%)
	1024	96.9%	(5.7%)
	2048	91.2%	(22.1%)
	4096	69.1%	(39.2%)
	8192	29.9%	(29.9%)
789000	mean = 79297.5	max = 220688
	256	100%	(0.3%)
	512	99.7%	(1.5%)
	1024	98.2%	(4.9%)
	2048	93.3%	(21.1%)
	4096	72.2%	(41.3%)
	8192	30.9%	(30.8%)
	16384	0.1%	(0.1%)
790000	mean = 80613.6	max = 223312
	128	100%	(0.4%)
	256	99.6%	(0.5%)
	512	99.1%	(1.8%)
	1024	97.3%	(5.8%)
	2048	91.5%	(17.6%)
	4096	73.9%	(39.4%)
	8192	34.5%	(34.4%)
	16384	0.1%	(0.1%)
791000	mean = 76372	max = 176668
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.1%)
	512	99.6%	(1.3%)
	1024	98.3%	(6.4%)
	2048	91.9%	(23.3%)
	4096	68.6%	(37.5%)
	8192	31.1%	(31.1%)
792000	mean = 80686.9	max = 223968
	256	100%	(0.2%)
	512	99.8%	(1.3%)
	1024	98.5%	(5.6%)
	2048	92.9%	(19.1%)
	4096	73.8%	(40.9%)
	8192	32.9%	(32.8%)
	16384	0.1%	(0.1%)
793000	mean = 78473.4	max = 226716
	256	100%	(0.3%)
	512	99.7%	(1.1%)
	1024	98.6%	(5.6%)
	2048	93%	(20.3%)
	4096	72.7%	(42.1%)
	8192	30.6%	(30.5%)
	16384	0.1%	(0.1%)
794000	mean = 78459.6	max = 176248
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.7%)
	1024	98%	(6.3%)
	2048	91.7%	(20.9%)
	4096	70.8%	(38.8%)
	8192	32%	(32%)
795000	mean = 81175	max = 176908
	256	100%	(0.1%)
	512	99.9%	(2.1%)
	1024	97.8%	(5%)
	2048	92.8%	(17.8%)
	4096	75%	(42.8%)
	8192	32.2%	(32.2%)
796000	mean = 79388.3	max = 174912
	128	100%	(0.1%)
	512	99.9%	(1.6%)
	1024	98.3%	(6.1%)
	2048	92.2%	(20.9%)
	4096	71.3%	(40.1%)
	8192	31.2%	(31.2%)
797000	mean = 81500.8	max = 177404
	128	100%	(0.2%)
	256	99.8%	(0.1%)
	512	99.7%	(0.9%)
	1024	98.8%	(5.5%)
	2048	93.3%	(19.5%)
	4096	73.8%	(39.9%)
	8192	33.9%	(33.9%)
798000	mean = 75319.5	max = 175312
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.7%)
	512	99.1%	(1.4%)
	1024	97.7%	(5.6%)
	2048	92.1%	(22.9%)
	4096	69.2%	(41.7%)
	8192	27.5%	(27.5%)
799000	mean = 79489	max = 176412
	16	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1.5%)
	1024	97.9%	(6.6%)
	2048	91.3%	(18.9%)
	4096	72.4%	(40.6%)
	8192	31.8%	(31.8%)
800000	mean = 77684.3	max = 176876
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.3%)
	512	99.2%	(1.4%)
	1024	97.8%	(6.4%)
	2048	91.4%	(18.9%)
	4096	72.5%	(42.5%)
	8192	30%	(30%)
801000	mean = 79809.6	max = 176448
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(1.4%)
	1024	97.8%	(5.2%)
	2048	92.6%	(18.3%)
	4096	74.3%	(43.6%)
	8192	30.7%	(30.7%)
802000	mean = 79193.4	max = 177060
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.2%)
	512	99.5%	(1.5%)
	1024	98%	(5.1%)
	2048	92.9%	(19.4%)
	4096	73.5%	(42.9%)
	8192	30.6%	(30.6%)
803000	mean = 77271.3	max = 176064
	128	100%	(0.2%)
	256	99.8%	(0.9%)
	512	98.9%	(1.1%)
	1024	97.8%	(6%)
	2048	91.8%	(20.2%)
	4096	71.6%	(42.8%)
	8192	28.8%	(28.8%)
804000	mean = 77850	max = 173524
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(1.6%)
	1024	97.6%	(5.5%)
	2048	92.1%	(21%)
	4096	71.1%	(39.6%)
	8192	31.5%	(31.5%)
805000	mean = 78725	max = 209716
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(1.4%)
	1024	98.2%	(5.6%)
	2048	92.6%	(20.6%)
	4096	72%	(41.6%)
	8192	30.4%	(30.4%)
806000	mean = 77644.7	max = 176588
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.1%)
	512	99.7%	(1.5%)
	1024	98.2%	(6.2%)
	2048	92%	(22.1%)
	4096	69.9%	(39.1%)
	8192	30.8%	(30.8%)
807000	mean = 79678.5	max = 175764
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.2%)
	1024	98.3%	(6.7%)
	2048	91.6%	(19.4%)
	4096	72.2%	(39.6%)
	8192	32.6%	(32.6%)
808000	mean = 81878.8	max = 244472
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1%)
	1024	98.2%	(5.3%)
	2048	92.9%	(19%)
	4096	73.9%	(40.1%)
	8192	33.8%	(33.7%)
	16384	0.1%	(0.1%)
809000	mean = 78556.9	max = 174928
	256	100%	(0.2%)
	512	99.8%	(2%)
	1024	97.8%	(6.4%)
	2048	91.4%	(19.3%)
	4096	72.1%	(41.2%)
	8192	30.9%	(30.9%)
810000	mean = 81254.2	max = 175268
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.1%)
	512	99.7%	(1.6%)
	1024	98.1%	(5.2%)
	2048	92.9%	(19.5%)
	4096	73.4%	(39.6%)
	8192	33.8%	(33.8%)
811000	mean = 81612	max = 176468
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(1.6%)
	1024	97.7%	(4.9%)
	2048	92.8%	(18.9%)
	4096	73.9%	(40.2%)
	8192	33.7%	(33.7%)
812000	mean = 79200.7	max = 177340
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.3%)
	1024	98.2%	(5.8%)
	2048	92.4%	(21.3%)
	4096	71.1%	(39.7%)
	8192	31.4%	(31.4%)
813000	mean = 82244.9	max = 175392
	256	100%	(0.2%)
	512	99.8%	(1.5%)
	1024	98.3%	(5.2%)
	2048	93.1%	(17.7%)
	4096	75.4%	(41.1%)
	8192	34.3%	(34.3%)
814000	mean = 78287.3	max = 237612
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.1%)
	256	99.6%	(0.5%)
	512	99.1%	(2.1%)
	1024	97%	(6.3%)
	2048	90.7%	(19.3%)
	4096	71.4%	(39.9%)
	8192	31.5%	(31.4%)
	16384	0.1%	(0.1%)
815000	mean = 78363.4	max = 175420
	64	100%	(0.3%)
	128	99.7%	(0.1%)
	256	99.6%	(0.1%)
	512	99.5%	(1.1%)
	1024	98.4%	(5.7%)
	2048	92.7%	(20.1%)
	4096	72.6%	(42.3%)
	8192	30.3%	(30.3%)
816000	mean = 79540	max = 175560
	32	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(0.2%)
	512	99.2%	(1.4%)
	1024	97.8%	(7.1%)
	2048	90.7%	(18.1%)
	4096	72.6%	(40.6%)
	8192	32%	(32%)
817000	mean = 79810.6	max = 175220
	128	100%	(0.1%)
	512	99.9%	(0.7%)
	1024	99.2%	(5.7%)
	2048	93.5%	(22.4%)
	4096	71.1%	(38.7%)
	8192	32.4%	(32.4%)
818000	mean = 82473.3	max = 188080
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(1.5%)
	1024	97.7%	(4.6%)
	2048	93.1%	(19.4%)
	4096	73.7%	(37.4%)
	8192	36.3%	(36.3%)
819000	mean = 81773.3	max = 173148
	32	100%	(0.1%)
	64	99.9%	(0.3%)
	128	99.6%	(0.3%)
	256	99.3%	(0.2%)
	512	99.1%	(2%)
	1024	97.1%	(5.3%)
	2048	91.8%	(18.5%)
	4096	73.3%	(38.4%)
	8192	34.9%	(34.9%)
820000	mean = 81233.2	max = 173432
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.3%)
	1024	98.2%	(5.6%)
	2048	92.6%	(18.3%)
	4096	74.3%	(41.1%)
	8192	33.2%	(33.2%)
821000	mean = 78296.2	max = 176620
	32	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.6%)
	512	99.1%	(1.7%)
	1024	97.4%	(6.7%)
	2048	90.7%	(20.3%)
	4096	70.4%	(39.1%)
	8192	31.3%	(31.3%)
822000	mean = 81692.1	max = 221388
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	512	99.5%	(1.6%)
	1024	97.9%	(5.3%)
	2048	92.6%	(20.2%)
	4096	72.4%	(36.9%)
	8192	35.5%	(35.4%)
	16384	0.1%	(0.1%)
823000	mean = 81608.8	max = 198972
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1%)
	1024	98.5%	(6%)
	2048	92.5%	(18.1%)
	4096	74.4%	(41.7%)
	8192	32.7%	(32.7%)
824000	mean = 79588.6	max = 193300
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(1.1%)
	1024	98%	(5.5%)
	2048	92.5%	(20.4%)
	4096	72.1%	(40.8%)
	8192	31.3%	(31.3%)
825000	mean = 79288.1	max = 208600
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.3%)
	1024	98.2%	(6.2%)
	2048	92%	(20.9%)
	4096	71.1%	(38.4%)
	8192	32.7%	(32.7%)
826000	mean = 81116.1	max = 187608
	128	100%	(0.5%)
	256	99.5%	(0.3%)
	512	99.2%	(0.9%)
	1024	98.3%	(6%)
	2048	92.3%	(20.5%)
	4096	71.8%	(38.7%)
	8192	33.1%	(33.1%)
827000	mean = 79836.9	max = 175864
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.5%)
	512	99.2%	(2.3%)
	1024	96.9%	(5.6%)
	2048	91.3%	(20.3%)
	4096	71%	(37.9%)
	8192	33.1%	(33.1%)
828000	mean = 79422.7	max = 175620
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(0.3%)
	512	99.1%	(1.8%)
	1024	97.3%	(3.8%)
	2048	93.5%	(21.6%)
	4096	71.9%	(40.9%)
	8192	31%	(31%)
829000	mean = 81899.5	max = 218404
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.4%)
	1024	98.1%	(4.6%)
	2048	93.5%	(19.1%)
	4096	74.4%	(40.2%)
	8192	34.2%	(34.1%)
	16384	0.1%	(0.1%)
830000	mean = 80742.8	max = 177316
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(0.9%)
	1024	98.4%	(4.8%)
	2048	93.6%	(20.9%)
	4096	72.7%	(40%)
	8192	32.7%	(32.7%)
831000	mean = 78648.2	max = 178256
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.3%)
	512	99.3%	(1.8%)
	1024	97.5%	(5.8%)
	2048	91.7%	(20.9%)
	4096	70.8%	(39%)
	8192	31.8%	(31.8%)
832000	mean = 79112.2	max = 177008
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.4%)
	512	99.4%	(1.2%)
	1024	98.2%	(5.4%)
	2048	92.8%	(21.5%)
	4096	71.3%	(39.8%)
	8192	31.5%	(31.5%)
833000	mean = 77893.9	max = 176204
	256	100%	(0.4%)
	512	99.6%	(1.5%)
	1024	98.1%	(5.7%)
	2048	92.4%	(21.1%)
	4096	71.3%	(40.3%)
	8192	31%	(31%)
834000	mean = 78691.1	max = 175512
	128	100%	(0.5%)
	256	99.5%	(0.4%)
	512	99.1%	(1.6%)
	1024	97.5%	(5.1%)
	2048	92.4%	(20.7%)
	4096	71.7%	(40.6%)
	8192	31.1%	(31.1%)
835000	mean = 77251.9	max = 223972
	64	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.4%)
	1024	98.3%	(6.5%)
	2048	91.8%	(22.9%)
	4096	68.9%	(37.4%)
	8192	31.5%	(31.4%)
	16384	0.1%	(0.1%)
836000	mean = 80015.9	max = 176192
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.6%)
	1024	98.1%	(5.2%)
	2048	92.9%	(21.8%)
	4096	71.1%	(38.4%)
	8192	32.7%	(32.7%)
837000	mean = 79506	max = 176876
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.7%)
	1024	97.6%	(5.7%)
	2048	91.9%	(20%)
	4096	71.9%	(39.9%)
	8192	32%	(32%)
838000	mean = 78426.4	max = 174620
	64	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.4%)
	1024	97.9%	(6.1%)
	2048	91.8%	(22.2%)
	4096	69.6%	(38.3%)
	8192	31.3%	(31.3%)
839000	mean = 79325.4	max = 175260
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.7%)
	1024	98%	(6.2%)
	2048	91.8%	(19.6%)
	4096	72.2%	(40.1%)
	8192	32.1%	(32.1%)
840000	mean = 77499.2	max = 187996
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.7%)
	1024	97.8%	(5.4%)
	2048	92.4%	(22.7%)
	4096	69.7%	(39.3%)
	8192	30.4%	(30.4%)
841000	mean = 77518.4	max = 174716
	256	100%	(0.5%)
	512	99.5%	(1.1%)
	1024	98.4%	(6.2%)
	2048	92.2%	(22%)
	4096	70.2%	(40.2%)
	8192	30%	(30%)
842000	mean = 74019.8	max = 231476
	128	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(1.8%)
	1024	97.6%	(6.2%)
	2048	91.4%	(23%)
	4096	68.4%	(41.5%)
	8192	26.9%	(26.8%)
	16384	0.1%	(0.1%)
843000	mean = 77749	max = 175600
	128	100%	(0.3%)
	256	99.7%	(0.1%)
	512	99.6%	(2%)
	1024	97.6%	(5.6%)
	2048	92%	(20.9%)
	4096	71.1%	(40.6%)
	8192	30.5%	(30.5%)
844000	mean = 76164.6	max = 225992
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(0.3%)
	512	99.3%	(1.6%)
	1024	97.7%	(7.7%)
	2048	90%	(21.3%)
	4096	68.7%	(38.6%)
	8192	30.1%	(30%)
	16384	0.1%	(0.1%)
845000	mean = 79082.7	max = 175620
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.3%)
	512	99.3%	(2.3%)
	1024	97%	(5.4%)
	2048	91.6%	(20.4%)
	4096	71.2%	(39%)
	8192	32.2%	(32.2%)
846000	mean = 79258.7	max = 177524
	128	100%	(0.4%)
	256	99.6%	(0.2%)
	512	99.4%	(2.3%)
	1024	97.1%	(5.6%)
	2048	91.5%	(19.9%)
	4096	71.6%	(39.4%)
	8192	32.2%	(32.2%)
847000	mean = 80492.4	max = 175272
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(1.1%)
	1024	98.2%	(6%)
	2048	92.2%	(18.2%)
	4096	74%	(41.8%)
	8192	32.2%	(32.2%)
848000	mean = 80795.6	max = 175576
	64	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(0.8%)
	1024	99%	(5.4%)
	2048	93.6%	(18.8%)
	4096	74.8%	(43.4%)
	8192	31.4%	(31.4%)
849000	mean = 79428.9	max = 175404
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.6%)
	1024	97.9%	(5.3%)
	2048	92.6%	(19.9%)
	4096	72.7%	(41.3%)
	8192	31.4%	(31.4%)
850000	mean = 76290.8	max = 194260
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(2.1%)
	1024	97%	(4.9%)
	2048	92.1%	(21.1%)
	4096	71%	(43.1%)
	8192	27.9%	(27.9%)
851000	mean = 75839.4	max = 175312
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.7%)
	1024	97.9%	(6.8%)
	2048	91.1%	(20.8%)
	4096	70.3%	(41.6%)
	8192	28.7%	(28.7%)
852000	mean = 81609.7	max = 222044
	16	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.8%)
	1024	97.8%	(4.8%)
	2048	93%	(18.8%)
	4096	74.2%	(40.6%)
	8192	33.6%	(33.5%)
	16384	0.1%	(0.1%)
853000	mean = 77844.1	max = 179324
	128	100%	(0.2%)
	512	99.8%	(1.2%)
	1024	98.6%	(6.9%)
	2048	91.7%	(21.1%)
	4096	70.6%	(40.3%)
	8192	30.3%	(30.3%)
854000	mean = 80303.6	max = 188212
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.4%)
	512	99.2%	(1.5%)
	1024	97.7%	(4.5%)
	2048	93.2%	(20.8%)
	4096	72.4%	(40%)
	8192	32.4%	(32.4%)
855000	mean = 79297.2	max = 176648
	128	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(0.7%)
	1024	98.6%	(5.5%)
	2048	93.1%	(20.9%)
	4096	72.2%	(41%)
	8192	31.2%	(31.2%)
856000	mean = 79569.3	max = 176524
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(0.6%)
	512	98.8%	(1.8%)
	1024	97%	(4.6%)
	2048	92.4%	(20%)
	4096	72.4%	(39.8%)
	8192	32.6%	(32.6%)
857000	mean = 80554.3	max = 175204
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.4%)
	1024	98.1%	(6.6%)
	2048	91.5%	(20.1%)
	4096	71.4%	(37.7%)
	8192	33.7%	(33.7%)
858000	mean = 78396.4	max = 176836
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.3%)
	256	99.5%	(0.4%)
	512	99.1%	(0.7%)
	1024	98.4%	(4.6%)
	2048	93.8%	(23.9%)
	4096	69.9%	(38.9%)
	8192	31%	(31%)
859000	mean = 78794.2	max = 177048
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.3%)
	1024	98.2%	(6.2%)
	2048	92%	(19.4%)
	4096	72.6%	(41%)
	8192	31.6%	(31.6%)
860000	mean = 81222.9	max = 178128
	64	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.3%)
	1024	98.3%	(5.3%)
	2048	93%	(20.6%)
	4096	72.4%	(38.3%)
	8192	34.1%	(34.1%)
861000	mean = 81573.4	max = 177108
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.9%)
	1024	97.8%	(5.5%)
	2048	92.3%	(19.1%)
	4096	73.2%	(38.7%)
	8192	34.5%	(34.5%)
862000	mean = 81284.8	max = 218804
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.4%)
	1024	98.1%	(4.9%)
	2048	93.2%	(19%)
	4096	74.2%	(41.9%)
	8192	32.3%	(32.2%)
	16384	0.1%	(0.1%)
863000	mean = 80572.7	max = 225588
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.4%)
	512	99.3%	(1.8%)
	1024	97.5%	(4.8%)
	2048	92.7%	(20.9%)
	4096	71.8%	(38.3%)
	8192	33.5%	(33.4%)
	16384	0.1%	(0.1%)
864000	mean = 81135.5	max = 175132
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(1.7%)
	1024	97.9%	(5%)
	2048	92.9%	(19.8%)
	4096	73.1%	(39.6%)
	8192	33.5%	(33.5%)
865000	mean = 79055.6	max = 175436
	128	100%	(0.5%)
	256	99.5%	(0.2%)
	512	99.3%	(1.3%)
	1024	98%	(5.1%)
	2048	92.9%	(19.9%)
	4096	73%	(42.8%)
	8192	30.2%	(30.2%)
866000	mean = 80582.2	max = 175384
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1.5%)
	1024	97.7%	(6.2%)
	2048	91.5%	(19.4%)
	4096	72.1%	(39.3%)
	8192	32.8%	(32.8%)
867000	mean = 82700.6	max = 225704
	256	100%	(0.3%)
	512	99.7%	(1.7%)
	1024	98%	(4.6%)
	2048	93.4%	(18.8%)
	4096	74.6%	(39.6%)
	8192	35%	(34.8%)
	16384	0.2%	(0.2%)
868000	mean = 81865.2	max = 177308
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.1%)
	512	99.6%	(1.4%)
	1024	98.2%	(5.1%)
	2048	93.1%	(17.1%)
	4096	76%	(42.1%)
	8192	33.9%	(33.9%)
869000	mean = 82831	max = 175408
	64	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1%)
	1024	98.6%	(5.1%)
	2048	93.5%	(19.6%)
	4096	73.9%	(39.5%)
	8192	34.4%	(34.4%)
870000	mean = 80327.3	max = 217788
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1%)
	1024	98.2%	(5.8%)
	2048	92.4%	(20.7%)
	4096	71.7%	(38%)
	8192	33.7%	(33.6%)
	16384	0.1%	(0.1%)
871000	mean = 81175.5	max = 175452
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.1%)
	512	99.6%	(1.3%)
	1024	98.3%	(5.6%)
	2048	92.7%	(19.3%)
	4096	73.4%	(40%)
	8192	33.4%	(33.4%)
872000	mean = 83632.6	max = 177212
	256	100%	(0.4%)
	512	99.6%	(1.2%)
	1024	98.4%	(5.7%)
	2048	92.7%	(17.7%)
	4096	75%	(38.4%)
	8192	36.6%	(36.6%)
873000	mean = 77232.9	max = 176072
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.6%)
	1024	97.9%	(6.5%)
	2048	91.4%	(19.8%)
	4096	71.6%	(41.1%)
	8192	30.5%	(30.5%)
874000	mean = 78096.8	max = 178200
	128	100%	(0.3%)
	256	99.7%	(0.2%)
	512	99.5%	(1.9%)
	1024	97.6%	(5.2%)
	2048	92.4%	(21.9%)
	4096	70.5%	(38.8%)
	8192	31.7%	(31.7%)
875000	mean = 80811.1	max = 175132
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.4%)
	1024	98.3%	(6.4%)
	2048	91.9%	(17.6%)
	4096	74.3%	(42.5%)
	8192	31.8%	(31.8%)
876000	mean = 80260.1	max = 175536
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.5%)
	1024	97.9%	(6.5%)
	2048	91.4%	(19.9%)
	4096	71.5%	(38.8%)
	8192	32.7%	(32.7%)
877000	mean = 80322.7	max = 175392
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.8%)
	1024	97.7%	(7.1%)
	2048	90.6%	(19.1%)
	4096	71.5%	(37.5%)
