<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 4191459678
	512	95.8%	(9.5%)
	1024	86.3%	(20.9%)
	2048	65.4%	(43.7%)
	4096	21.7%	(21.6%)
	8192	0.1%	(0.1%)
837000	mean = 29980.1	max = 80488
	128	100%	(1%)
	256	99%	(3.4%)
	512	95.6%	(9.5%)
	1024	86.1%	(22.8%)
	2048	63.3%	(42.1%)
	4096	21.2%	(21.2%)
838000	mean = 29948.6	max = 80036
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.2%)
	512	95.1%	(10%)
	1024	85.1%	(20%)
	2048	65.1%	(44.7%)
	4096	20.4%	(20.4%)
839000	mean = 30385.8	max = 85080
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.7%)
	512	95.6%	(10.4%)
	1024	85.2%	(21%)
	2048	64.2%	(43.4%)
	4096	20.8%	(20.8%)
840000	mean = 30104.1	max = 82900
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(4.9%)
	512	94.1%	(8.8%)
	1024	85.3%	(20.4%)
	2048	64.9%	(44.2%)
	4096	20.7%	(20.7%)
841000	mean = 30368.9	max = 80332
	128	100%	(0.9%)
	256	99.1%	(4%)
	512	95.1%	(10.1%)
	1024	85%	(20.8%)
	2048	64.2%	(42.7%)
	4096	21.5%	(21.5%)
842000	mean = 30454.1	max = 111004
	32	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.6%)
	512	95.6%	(8.8%)
	1024	86.8%	(22.6%)
	2048	64.2%	(44.2%)
	4096	20%	(19.9%)
	8192	0.1%	(0.1%)
843000	mean = 30338.5	max = 79420
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.5%)
	512	95.7%	(8.1%)
	1024	87.6%	(22.2%)
	2048	65.4%	(45.2%)
	4096	20.2%	(20.2%)
844000	mean = 29609.8	max = 80184
	64	100%	(0.2%)
	128	99.8%	(1.3%)
	256	98.5%	(4.1%)
	512	94.4%	(9.4%)
	1024	85%	(20.7%)
	2048	64.3%	(45.5%)
	4096	18.8%	(18.8%)
845000	mean = 31053.3	max = 87168
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(3.8%)
	512	95.6%	(10%)
	1024	85.6%	(19.9%)
	2048	65.7%	(43.1%)
	4096	22.6%	(22.6%)
846000	mean = 29978.5	max = 79624
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.3%)
	512	95.2%	(9.7%)
	1024	85.5%	(20%)
	2048	65.5%	(44.8%)
	4096	20.7%	(20.7%)
847000	mean = 30405.2	max = 94096
	128	100%	(0.4%)
	256	99.6%	(3.6%)
	512	96%	(9%)
	1024	87%	(20.6%)
	2048	66.4%	(47.8%)
	4096	18.6%	(18.6%)
848000	mean = 30865.4	max = 80400
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.2%)
	512	95.1%	(10.5%)
	1024	84.6%	(18.8%)
	2048	65.8%	(43.6%)
	4096	22.2%	(22.2%)
849000	mean = 29699.8	max = 80328
	128	100%	(0.3%)
	256	99.7%	(4.3%)
	512	95.4%	(9.1%)
	1024	86.3%	(21.9%)
	2048	64.4%	(45.1%)
	4096	19.3%	(19.3%)
850000	mean = 30323.3	max = 80644
	128	100%	(0.5%)
	256	99.5%	(3.2%)
	512	96.3%	(10.1%)
	1024	86.2%	(22.2%)
	2048	64%	(43.3%)
	4096	20.7%	(20.7%)
851000	mean = 30510.8	max = 79484
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.1%)
	512	96.2%	(10.4%)
	1024	85.8%	(21.5%)
	2048	64.3%	(43.2%)
	4096	21.1%	(21.1%)
852000	mean = 30164	max = 81256
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(3.9%)
	512	95.6%	(10.8%)
	1024	84.8%	(21.2%)
	2048	63.6%	(42.7%)
	4096	20.9%	(20.9%)
853000	mean = 29792.3	max = 108624
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(3.7%)
	512	95.4%	(10%)
	1024	85.4%	(21.9%)
	2048	63.5%	(43.3%)
	4096	20.2%	(20.1%)
	8192	0.1%	(0.1%)
854000	mean = 29539.7	max = 79588
	128	100%	(0.2%)
	256	99.8%	(4.9%)
	512	94.9%	(8.6%)
	1024	86.3%	(21.9%)
	2048	64.4%	(46.1%)
	4096	18.3%	(18.3%)
855000	mean = 29600.6	max = 78928
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(3.2%)
	512	96%	(10.5%)
	1024	85.5%	(21.2%)
	2048	64.3%	(46.3%)
	4096	18%	(18%)
856000	mean = 29802.8	max = 80668
	128	100%	(0.5%)
	256	99.5%	(4.1%)
	512	95.4%	(11.4%)
	1024	84%	(21.9%)
	2048	62.1%	(40%)
	4096	22.1%	(22.1%)
857000	mean = 30825.4	max = 100012
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.8%)
	512	95.7%	(10.1%)
	1024	85.6%	(20.8%)
	2048	64.8%	(43.8%)
	4096	21%	(20.9%)
	8192	0.1%	(0.1%)
858000	mean = 30703.4	max = 80904
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.7%)
	512	95.5%	(9.1%)
	1024	86.4%	(21.6%)
	2048	64.8%	(42.4%)
	4096	22.4%	(22.4%)
859000	mean = 30316.1	max = 84948
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(3.1%)
	512	96.3%	(8.8%)
	1024	87.5%	(23.2%)
	2048	64.3%	(44.5%)
	4096	19.8%	(19.8%)
860000	mean = 30653	max = 109556
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.5%)
	512	95.8%	(8.9%)
	1024	86.9%	(21.9%)
	2048	65%	(43.6%)
	4096	21.4%	(21.3%)
	8192	0.1%	(0.1%)
861000	mean = 30559.4	max = 85600
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.3%)
	512	96%	(9.1%)
	1024	86.9%	(22.7%)
	2048	64.2%	(42.9%)
	4096	21.3%	(21.3%)
862000	mean = 30076.5	max = 91936
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.3%)
	512	95.9%	(10%)
	1024	85.9%	(20.9%)
	2048	65%	(45.7%)
	4096	19.3%	(19.3%)
863000	mean = 31577.3	max = 79912
	128	100%	(0.6%)
	256	99.4%	(2.9%)
	512	96.5%	(7.8%)
	1024	88.7%	(20%)
	2048	68.7%	(46.9%)
	4096	21.8%	(21.8%)
864000	mean = 30277.6	max = 80152
	128	100%	(0.4%)
	256	99.6%	(4.1%)
	512	95.5%	(10.2%)
	1024	85.3%	(20%)
	2048	65.3%	(46.3%)
	4096	19%	(19%)
865000	mean = 31053	max = 80180
	128	100%	(0.3%)
	256	99.7%	(4.5%)
	512	95.2%	(8.2%)
	1024	87%	(19.1%)
	2048	67.9%	(46.3%)
	4096	21.6%	(21.6%)
866000	mean = 31074.5	max = 102184
	128	100%	(0.9%)
	256	99.1%	(3.4%)
	512	95.7%	(9.3%)
	1024	86.4%	(20.5%)
	2048	65.9%	(43%)
	4096	22.9%	(22.8%)
	8192	0.1%	(0.1%)
867000	mean = 30369.1	max = 80716
	128	100%	(1%)
	256	99%	(4%)
	512	95%	(10.9%)
	1024	84.1%	(20.2%)
	2048	63.9%	(42.6%)
	4096	21.3%	(21.3%)
868000	mean = 30537.1	max = 89188
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(3%)
	512	96.1%	(9.7%)
	1024	86.4%	(20.2%)
	2048	66.2%	(45.2%)
	4096	21%	(21%)
869000	mean = 30631	max = 80520
	128	100%	(0.5%)
	256	99.5%	(2.8%)
	512	96.7%	(10.2%)
	1024	86.5%	(22.1%)
	2048	64.4%	(42.4%)
	4096	22%	(22%)
870000	mean = 29821.6	max = 93564
	128	100%	(0.6%)
	256	99.4%	(5.1%)
	512	94.3%	(9.8%)
	1024	84.5%	(21.3%)
	2048	63.2%	(43.1%)
	4096	20.1%	(20.1%)
871000	mean = 30180.2	max = 80500
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.8%)
	512	95.7%	(8.3%)
	1024	87.4%	(24.8%)
	2048	62.6%	(42.5%)
	4096	20.1%	(20.1%)
872000	mean = 30657.2	max = 120160
	128	100%	(0.5%)
	256	99.5%	(3.5%)
	512	96%	(10.2%)
	1024	85.8%	(20%)
	2048	65.8%	(46.2%)
	4096	19.6%	(19.5%)
	8192	0.1%	(0.1%)
873000	mean = 30861.4	max = 80036
	128	100%	(0.5%)
	256	99.5%	(3.9%)
	512	95.6%	(9.5%)
	1024	86.1%	(20.1%)
	2048	66%	(43.6%)
	4096	22.4%	(22.4%)
874000	mean = 31006.1	max = 82652
	128	100%	(0.5%)
	256	99.5%	(4.1%)
	512	95.4%	(8.7%)
	1024	86.7%	(20.3%)
	2048	66.4%	(44.9%)
	4096	21.5%	(21.5%)
875000	mean = 29496.2	max = 106452
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.6%)
	512	94.8%	(9.6%)
	1024	85.2%	(21.4%)
	2048	63.8%	(44.9%)
	4096	18.9%	(18.8%)
	8192	0.1%	(0.1%)
876000	mean = 29470.4	max = 81496
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.8%)
	512	95.5%	(9.2%)
	1024	86.3%	(23.4%)
	2048	62.9%	(43.8%)
	4096	19.1%	(19.1%)
877000	mean = 32086	max = 89848
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(3%)
	512	96.2%	(8.3%)
	1024	87.9%	(20.2%)
	2048	67.7%	(44%)
	4096	23.7%	(23.7%)
878000	mean = 31476.3	max = 80560
	128	100%	(0.3%)
	256	99.7%	(2.2%)
	512	97.5%	(9.3%)
	1024	88.2%	(20.9%)
	2048	67.3%	(45.2%)
	4096	22.1%	(22.1%)
879000	mean = 31411.2	max = 82284
	128	100%	(0.4%)
	256	99.6%	(4.3%)
	512	95.3%	(7.3%)
	1024	88%	(22.5%)
	2048	65.5%	(43%)
	4096	22.5%	(22.5%)
880000	mean = 30754.7	max = 100088
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.4%)
	256	99.4%	(3.4%)
	512	96%	(9.4%)
	1024	86.6%	(20.5%)
	2048	66.1%	(45.5%)
	4096	20.6%	(20.5%)
	8192	0.1%	(0.1%)
881000	mean = 31180.6	max = 89552
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(4%)
	512	95.7%	(8.7%)
	1024	87%	(20.3%)
	2048	66.7%	(44.7%)
	4096	22%	(22%)
882000	mean = 30442	max = 80544
	64	100%	(0.1%)
	128	99.9%	(1%)
	256	98.9%	(3.3%)
	512	95.6%	(8.5%)
	1024	87.1%	(20.9%)
	2048	66.2%	(46.2%)
	4096	20%	(20%)
883000	mean = 31275.8	max = 106064
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.4%)
	512	95.9%	(10.5%)
	1024	85.4%	(20.1%)
	2048	65.3%	(42.1%)
	4096	23.2%	(23.1%)
	8192	0.1%	(0.1%)
884000	mean = 31343.4	max = 81164
	128	100%	(1%)
	256	99%	(4.6%)
	512	94.4%	(9.9%)
	1024	84.5%	(17.7%)
	2048	66.8%	(44.7%)
	4096	22.1%	(22.1%)
885000	mean = 30434.8	max = 112664
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(3.9%)
	512	95.1%	(9.6%)
	1024	85.5%	(20.8%)
	2048	64.7%	(44.5%)
	4096	20.2%	(20.1%)
	8192	0.1%	(0.1%)
886000	mean = 29960	max = 89228
	128	100%	(0.5%)
	256	99.5%	(4.7%)
	512	94.8%	(9%)
	1024	85.8%	(21.5%)
	2048	64.3%	(45.1%)
	4096	19.2%	(19.2%)
887000	mean = 30852.2	max = 110212
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.5%)
	512	94.8%	(8%)
	1024	86.8%	(22.3%)
	2048	64.5%	(42%)
	4096	22.5%	(22.4%)
	8192	0.1%	(0.1%)
888000	mean = 31170.8	max = 80676
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(3.4%)
	512	96.2%	(8.4%)
	1024	87.8%	(21.3%)
	2048	66.5%	(45.1%)
	4096	21.4%	(21.4%)
889000	mean = 30705.8	max = 109540
	128	100%	(1%)
	256	99%	(4%)
	512	95%	(10.2%)
	1024	84.8%	(20.1%)
	2048	64.7%	(43%)
	4096	21.7%	(21.6%)
	8192	0.1%	(0.1%)
890000	mean = 30456.4	max = 79972
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.3%)
	512	96%	(10.2%)
	1024	85.8%	(20.6%)
	2048	65.2%	(44.1%)
	4096	21.1%	(21.1%)
891000	mean = 31466.4	max = 81760
	128	100%	(0.4%)
	256	99.6%	(3.1%)
	512	96.5%	(8.7%)
	1024	87.8%	(21.3%)
	2048	66.5%	(43.8%)
	4096	22.7%	(22.7%)
892000	mean = 31417.7	max = 80800
	128	100%	(1.1%)
	256	98.9%	(2.9%)
	512	96%	(8.1%)
	1024	87.9%	(21.3%)
	2048	66.6%	(45.3%)
	4096	21.3%	(21.3%)
893000	mean = 30547.3	max = 80256
	128	100%	(0.6%)
	256	99.4%	(4.6%)
	512	94.8%	(8.2%)
	1024	86.6%	(20.9%)
	2048	65.7%	(44.4%)
	4096	21.3%	(21.3%)
894000	mean = 30695.3	max = 120336
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4.1%)
	512	95%	(9.1%)
	1024	85.9%	(21.7%)
	2048	64.2%	(43.2%)
	4096	21%	(20.7%)
	8192	0.3%	(0.3%)
895000	mean = 30113.5	max = 80372
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.8%)
	512	95.7%	(10.2%)
	1024	85.5%	(22.8%)
	2048	62.7%	(42.5%)
	4096	20.2%	(20.2%)
896000	mean = 30524.6	max = 80420
	128	100%	(0.7%)
	256	99.3%	(4%)
	512	95.3%	(10.2%)
	1024	85.1%	(21.4%)
	2048	63.7%	(42.8%)
	4096	20.9%	(20.9%)
897000	mean = 30709.6	max = 86488
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(3.1%)
	512	96%	(10%)
	1024	86%	(19.8%)
	2048	66.2%	(44.8%)
	4096	21.4%	(21.4%)
898000	mean = 30085.4	max = 92900
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.1%)
	512	95.1%	(8.5%)
	1024	86.6%	(23.1%)
	2048	63.5%	(43.1%)
	4096	20.4%	(20.4%)
899000	mean = 30542.2	max = 80544
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.6%)
	512	96.1%	(9.5%)
	1024	86.6%	(22.8%)
	2048	63.8%	(42.6%)
	4096	21.2%	(21.2%)
900000	mean = 30300.6	max = 79708
	128	100%	(0.5%)
	256	99.5%	(4.2%)
	512	95.3%	(10%)
	1024	85.3%	(20.6%)
	2048	64.7%	(44.7%)
	4096	20%	(20%)
901000	mean = 29500.6	max = 80968
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.9%)
	512	95.8%	(9.7%)
	1024	86.1%	(24.3%)
	2048	61.8%	(41.9%)
	4096	19.9%	(19.9%)
902000	mean = 31645	max = 107136
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.3%)
	512	96.4%	(8.9%)
	1024	87.5%	(20.8%)
	2048	66.7%	(44.1%)
	4096	22.6%	(22.4%)
	8192	0.2%	(0.2%)
903000	mean = 30514.6	max = 80852
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.7%)
	512	95.5%	(9%)
	1024	86.5%	(19.7%)
	2048	66.8%	(45.9%)
	4096	20.9%	(20.9%)
904000	mean = 30501.7	max = 108896
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.9%)
	512	95.8%	(8.8%)
	1024	87%	(21%)
	2048	66%	(46.2%)
	4096	19.8%	(19.7%)
	8192	0.1%	(0.1%)
905000	mean = 30387.3	max = 80752
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(2.4%)
	512	96.8%	(9.1%)
	1024	87.7%	(22.9%)
	2048	64.8%	(44.7%)
	4096	20.1%	(20.1%)
906000	mean = 31496.7	max = 81256
	128	100%	(0.5%)
	256	99.5%	(3%)
	512	96.5%	(8.9%)
	1024	87.6%	(21.1%)
	2048	66.5%	(43.2%)
	4096	23.3%	(23.3%)
907000	mean = 31322.8	max = 91692
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.4%)
	512	95.9%	(9.9%)
	1024	86%	(19%)
	2048	67%	(46.1%)
	4096	20.9%	(20.9%)
908000	mean = 30618.1	max = 90112
	128	100%	(0.4%)
	256	99.6%	(4.4%)
	512	95.2%	(10.2%)
	1024	85%	(19%)
	2048	66%	(44.5%)
	4096	21.5%	(21.5%)
909000	mean = 31336.2	max = 82804
	128	100%	(0.7%)
	256	99.3%	(4.7%)
	512	94.6%	(8.6%)
	1024	86%	(19.2%)
	2048	66.8%	(44.8%)
	4096	22%	(22%)
910000	mean = 30059	max = 80696
	64	100%	(0.3%)
	128	99.7%	(0.2%)
	256	99.5%	(4.4%)
	512	95.1%	(9.6%)
	1024	85.5%	(19.5%)
	2048	66%	(46.7%)
	4096	19.3%	(19.3%)
911000	mean = 30823.8	max = 82144
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.5%)
	256	99.3%	(3.6%)
	512	95.7%	(10.2%)
	1024	85.5%	(19.8%)
	2048	65.7%	(44.1%)
	4096	21.6%	(21.6%)
912000	mean = 31135.3	max = 81480
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(3.4%)
	512	96.2%	(8.3%)
	1024	87.9%	(21.9%)
	2048	66%	(44.6%)
	4096	21.4%	(21.4%)
913000	mean = 31876.3	max = 80584
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(3.7%)
	512	95.4%	(9.1%)
	1024	86.3%	(18.5%)
	2048	67.8%	(45.2%)
	4096	22.6%	(22.6%)
914000	mean = 30792.6	max = 80296
	128	100%	(0.4%)
	256	99.6%	(4.1%)
	512	95.5%	(8.8%)
	1024	86.7%	(19.4%)
	2048	67.3%	(47.2%)
	4096	20.1%	(20.1%)
915000	mean = 31763.2	max = 85932
	64	100%	(0.3%)
	128	99.7%	(0.8%)
	256	98.9%	(3.5%)
	512	95.4%	(9.2%)
	1024	86.2%	(18.7%)
	2048	67.5%	(43.4%)
	4096	24.1%	(24.1%)
916000	mean = 30132.2	max = 104108
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.2%)
	512	96.5%	(10.6%)
	1024	85.9%	(23%)
	2048	62.9%	(42.1%)
	4096	20.8%	(20.7%)
	8192	0.1%	(0.1%)
917000	mean = 31313	max = 112936
	128	100%	(0.5%)
	256	99.5%	(3.1%)
	512	96.4%	(9.5%)
	1024	86.9%	(19.3%)
	2048	67.6%	(45.9%)
	4096	21.7%	(21.6%)
	8192	0.1%	(0.1%)
918000	mean = 30394.7	max = 80280
	128	100%	(0.9%)
	256	99.1%	(4.4%)
	512	94.7%	(9.9%)
	1024	84.8%	(21.1%)
	2048	63.7%	(41.9%)
	4096	21.8%	(21.8%)
919000	mean = 31255.4	max = 81020
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(2.7%)
	512	96.5%	(10.6%)
	1024	85.9%	(18.7%)
	2048	67.2%	(44.2%)
	4096	23%	(23%)
920000	mean = 31243.5	max = 84212
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(3.7%)
	512	95.9%	(8.7%)
	1024	87.2%	(21.2%)
	2048	66%	(44.3%)
	4096	21.7%	(21.7%)
921000	mean = 30841.7	max = 82932
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.1%)
	512	96.2%	(8.6%)
	1024	87.6%	(21.8%)
	2048	65.8%	(44.6%)
	4096	21.2%	(21.2%)
922000	mean = 31447.6	max = 104672
	64	100%	(0.1%)
	128	99.9%	(1.1%)
	256	98.8%	(2.2%)
	512	96.6%	(9%)
	1024	87.6%	(20.3%)
	2048	67.3%	(45%)
	4096	22.3%	(22.2%)
	8192	0.1%	(0.1%)
923000	mean = 31279.3	max = 88032
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(4.8%)
	512	95%	(10.1%)
	1024	84.9%	(19.4%)
	2048	65.5%	(42.4%)
	4096	23.1%	(23.1%)
924000	mean = 30738.6	max = 79832
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(4%)
	512	95.6%	(10.4%)
	1024	85.2%	(20.3%)
	2048	64.9%	(42.6%)
	4096	22.3%	(22.3%)
925000	mean = 30065	max = 79948
	64	100%	(0.1%)
	128	99.9%	(1.2%)
	256	98.7%	(3.8%)
	512	94.9%	(8.9%)
	1024	86%	(22.1%)
	2048	63.9%	(44.3%)
	4096	19.6%	(19.6%)
926000	mean = 30053.2	max = 80896
	64	100%	(0.1%)
	128	99.9%	(1.2%)
	256	98.7%	(3.1%)
	512	95.6%	(11.2%)
	1024	84.4%	(20.8%)
	2048	63.6%	(43.2%)
	4096	20.4%	(20.4%)
927000	mean = 31031.8	max = 104876
	128	100%	(0.4%)
	256	99.6%	(4.8%)
	512	94.8%	(10%)
	1024	84.8%	(19%)
	2048	65.8%	(43.9%)
	4096	21.9%	(21.8%)
	8192	0.1%	(0.1%)
928000	mean = 30540.6	max = 80468
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.6%)
	512	95.8%	(9%)
	1024	86.8%	(20.2%)
	2048	66.6%	(46.3%)
	4096	20.3%	(20.3%)
929000	mean = 30580.1	max = 79708
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(3%)
	512	96.1%	(11.3%)
	1024	84.8%	(18.2%)
	2048	66.6%	(46.3%)
	4096	20.3%	(20.3%)
930000	mean = 30038.6	max = 100300
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.8%)
	512	95.6%	(10.5%)
	1024	85.1%	(21.4%)
	2048	63.7%	(42.7%)
	4096	21%	(20.9%)
	8192	0.1%	(0.1%)
931000	mean = 30652.2	max = 82724
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.2%)
	512	96.2%	(10.7%)
	1024	85.5%	(19.7%)
	2048	65.8%	(45.1%)
	4096	20.7%	(20.7%)
932000	mean = 30583.6	max = 89072
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(3.8%)
	512	95.8%	(9.9%)
	1024	85.9%	(20.6%)
	2048	65.3%	(44.4%)
	4096	20.9%	(20.9%)
933000	mean = 30965.2	max = 79964
	128	100%	(0.7%)
	256	99.3%	(3.2%)
	512	96.1%	(7.7%)
	1024	88.4%	(22.3%)
	2048	66.1%	(45.2%)
	4096	20.9%	(20.9%)
934000	mean = 30755.9	max = 85524
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.1%)
	512	96.3%	(10.8%)
	1024	85.5%	(20.5%)
	2048	65%	(44.7%)
	4096	20.3%	(20.3%)
935000	mean = 31174.4	max = 80772
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(3.9%)
	512	95.3%	(8.2%)
	1024	87.1%	(20.1%)
	2048	67%	(45%)
	4096	22%	(22%)
936000	mean = 30551.5	max = 91848
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.9%)
	512	95.6%	(10.1%)
	1024	85.5%	(19.5%)
	2048	66%	(45.6%)
	4096	20.4%	(20.4%)
937000	mean = 31477.1	max = 80560
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(5.1%)
	512	94.5%	(8.6%)
	1024	85.9%	(19.3%)
	2048	66.6%	(43.8%)
	4096	22.8%	(22.8%)
938000	mean = 31632	max = 127740
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.6%)
	512	95.6%	(7.7%)
	1024	87.9%	(21.3%)
	2048	66.6%	(44.2%)
	4096	22.4%	(22.3%)
	8192	0.1%	(0.1%)
939000	mean = 30796.7	max = 83116
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(3.4%)
	512	95.5%	(9.5%)
	1024	86%	(19.5%)
	2048	66.5%	(45.1%)
	4096	21.4%	(21.4%)
940000	mean = 31706.2	max = 80668
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.1%)
	512	95.4%	(8.1%)
	1024	87.3%	(21.3%)
	2048	66%	(42.3%)
	4096	23.7%	(23.7%)
941000	mean = 31540.4	max = 103972
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(3.4%)
	512	96.2%	(8.6%)
	1024	87.6%	(20.2%)
	2048	67.4%	(45.1%)
	4096	22.3%	(22.2%)
	8192	0.1%	(0.1%)
942000	mean = 30437.4	max = 77640
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(2.9%)
	512	96.6%	(8.6%)
	1024	88%	(22.7%)
	2048	65.3%	(45%)
	4096	20.3%	(20.3%)
943000	mean = 31538.6	max = 109240
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(2.6%)
	512	96.3%	(8.7%)
	1024	87.6%	(22.2%)
	2048	65.4%	(42.1%)
	4096	23.3%	(23.2%)
	8192	0.1%	(0.1%)
944000	mean = 30579.3	max = 82028
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(3.3%)
	512	95.9%	(10.5%)
	1024	85.4%	(19.5%)
	2048	65.9%	(45.3%)
	4096	20.6%	(20.6%)
945000	mean = 31692.3	max = 99812
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.1%)
	512	95.4%	(9.4%)
	1024	86%	(18.2%)
	2048	67.8%	(45.6%)
	4096	22.2%	(22.1%)
	8192	0.1%	(0.1%)
946000	mean = 31225.3	max = 80440
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(4.3%)
	512	94.7%	(8.4%)
	1024	86.3%	(17.9%)
	2048	68.4%	(47.6%)
	4096	20.8%	(20.8%)
947000	mean = 29928.5	max = 81012
	128	100%	(0.1%)
	256	99.9%	(3.9%)
	512	96%	(10.4%)
	1024	85.6%	(22%)
	2048	63.6%	(44.1%)
	4096	19.5%	(19.5%)
948000	mean = 31481.7	max = 87196
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.4%)
	512	96.3%	(8.8%)
	1024	87.5%	(19.1%)
	2048	68.4%	(45.9%)
	4096	22.5%	(22.5%)
949000	mean = 31630.1	max = 108072
	128	100%	(0.4%)
	256	99.6%	(3.8%)
	512	95.8%	(8.3%)
	1024	87.5%	(21.3%)
	2048	66.2%	(42.8%)
	4096	23.4%	(23.3%)
	8192	0.1%	(0.1%)
950000	mean = 30174.7	max = 80152
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(3.5%)
	512	95.5%	(9.9%)
	1024	85.6%	(21%)
	2048	64.6%	(44.2%)
	4096	20.4%	(20.4%)
951000	mean = 31346.8	max = 80920
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.3%)
	512	95%	(9.5%)
	1024	85.5%	(17.9%)
	2048	67.6%	(45.2%)
